
Grupo 1

state ; population ; infected ; death ; recovered ; migration ; politic ; density ; temperature ; employment ; poverly ; netspeed ; netcoverage ; rurality
Maine  ; 1328302 ; 2074 ; 78 ; 1290.0 ; 0.026128094364082862 ; 0 ; 43.6336 ; 23.2208 ; 1432474 ; 12.6 ; 21.2 ; 89.7 ; 51.9
Maryland  ; 5928814 ; 47152 ; 2302 ; 3329.0 ; 0.02752928325968735 ; 1 ; 626.6735 ; 36.4208 ; 6206853 ; 7.1 ; 51.3 ; 96.7 ; 8.0
Massachusetts  ; 6692824 ; 93271 ; 6416 ; 86855.025 ; 0.0215218568424928 ; 1 ; 894.4359 ; 30.1208 ; 8643460 ; 9.8 ; 43.5 ; 97.6 ; 3.5
Michigan  ; 9895622 ; 54881 ; 5241 ; 33168.0 ; 0.014074506887995518 ; 0 ; 177.665 ; 26.6208 ; 10241015 ; 11.0 ; 28.7 ; 88.3 ; 19.4
Minnesota  ; 5420380 ; 21315 ; 890 ; 14816.0 ; 0.018498703042960092 ; 0 ; 71.5922 ; 23.4208 ; 7020027 ; 8.7 ; 36.8 ; 88.1 ; 31.8
Mississippi  ; 2991207 ; 13458 ; 635 ; 9401.0 ; 0.02273329796299621 ; 1 ; 63.7056 ; 45.6208 ; 2478495 ; 19.8 ; 25.2 ; 70.2 ; 61.7
Missouri  ; 6044171 ; 12476 ; 689 ; 11787.028999999999 ; 0.025202132765601768 ; 1 ; 89.7453 ; 36.8208 ; 6586786 ; 11.9 ; 38.5 ; 80.1 ; 33.9
Montana  ; 1015165 ; 479 ; 16 ; 441.0 ; 0.04272704437209714 ; 0 ; 7.4668 ; 24.9208 ; 1105698 ; 10.4 ; 20.3 ; 69.2 ; 72.7
Nebraska  ; 1868516 ; 12362 ; 147 ; 12215.031 ; 0.029209811422540668 ; 1 ; 25.4161 ; 31.0208 ; 2225692 ; 10.4 ; 27.1 ; 82.4 ; 45.5
Nevada  ; 2790136 ; 7956 ; 394 ; 359.0 ; 0.04564723726728733 ; 0 ; 28.5993 ; 32.1208 ; 3056642 ; 12.2 ; 34.3 ; 91.8 ; 10.8
New Hampshire  ; 1323459 ; 4197 ; 210 ; 2204.0 ; 0.03654589979742478 ; 1 ; 153.161 ; 26.0208 ; 1616350 ; 6.4 ; 37.4 ; 94.3 ; 38.2
New Jersey  ; 8899339 ; 155092 ; 11147 ; 25253.0 ; 0.017961558718012652 ; 0 ; 1215.1985 ; 34.9208 ; 9859037 ; 9.1 ; 52.0 ; 99.0 ; 1.5
New Mexico  ; 2085287 ; 7026 ; 320 ; 2464.0 ; 0.028805627235004107 ; 0 ; 17.285 ; 35.6208 ; 1713657 ; 18.7 ; 30.0 ; 80.3 ; 41.4
North Carolina  ; 9848060 ; 24057 ; 790 ; 14954.0 ; 0.03235977441242235 ; 0 ; 218.271 ; 41.2208 ; 9868070 ; 14.1 ; 42.4 ; 93.1 ; 30.9
North Dakota  ; 723393 ; 2457 ; 54 ; 1551.0 ; 0.04663440204702009 ; 1 ; 11.0393 ; 22.6208 ; 944423 ; 10.9 ; 28.6 ; 92.2 ; 57.7
Ohio  ; 11570808 ; 32477 ; 1987 ; 30490.039 ; 0.017114275856966947 ; 1 ; 287.504 ; 32.9208 ; 12502230 ; 12.8 ; 32.1 ; 91.9 ; 22.7
Oklahoma  ; 3850568 ; 6090 ; 313 ; 4714.0 ; 0.02777330513316477 ; 1 ; 57.6546 ; 41.8208 ; 3679022 ; 14.0 ; 40.2 ; 73.3 ; 44.9
Oregon  ; 3930065 ; 3949 ; 148 ; 1376.0 ; 0.035782359833743206 ; 0 ; 44.8086 ; 30.6208 ; 4399279 ; 10.6 ; 39.1 ; 89.7 ; 30.6
Rhode Island  ; 1051511 ; 14065 ; 608 ; 1119.0 ; 0.031232198236632806 ; 0 ; 1021.4313 ; 32.3208 ; 1182747 ; 10.3 ; 46.7 ; 98.2 ; 2.3
South Carolina  ; 4774839 ; 10178 ; 440 ; 6063.0 ; 0.03905995573882177 ; 1 ; 173.3176 ; 44.6208 ; 4840298 ; 14.1 ; 39.3 ; 88.2 ; 29.1
South Dakota  ; 844877 ; 4586 ; 50 ; 3415.0 ; 0.03169100354252749 ; 1 ; 11.9116 ; 27.4208 ; 1004981 ; 11.8 ; 26.8 ; 85.3 ; 62.2
Tennessee  ; 6495978 ; 20535 ; 338 ; 13073.0 ; 0.03223179019387073 ; 1 ; 167.2749 ; 39.8208 ; 6780993 ; 12.6 ; 36.6 ; 89.9 ; 31.2
Utah  ; 2900872 ; 8521 ; 98 ; 5218.0 ; 0.0347564456480672 ; 1 ; 39.943 ; 30.8208 ; 3361622 ; 7.9 ; 37.2 ; 94.9 ; 17.5
Vermont  ; 626630 ; 962 ; 54 ; 843.0 ; 0.04198011585784275 ; 1 ; 68.1416 ; 25.1208 ; 736384 ; 9.6 ; 22.4 ; 86.1 ; 70.6
Virginia  ; 8260405 ; 37727 ; 1208 ; 5145.0 ; 0.0331706496231117 ; 0 ; 218.4404 ; 37.3208 ; 8712574 ; 10.7 ; 48.7 ; 89.9 ; 18.9
Washington  ; 6971406 ; 20065 ; 1070 ; 18995.053 ; 0.037425162155238126 ; 0 ; 117.3273 ; 30.5208 ; 7474534 ; 10.3 ; 41.0 ; 94.2 ; 16.8
West Virginia  ; 1854304 ; 1774 ; 72 ; 1135.0 ; 0.02364283310611421 ; 1 ; 73.9691 ; 34.0208 ; 1466658 ; 17.2 ; 29.9 ; 75.2 ; 51.9
Wisconsin  ; 5742713 ; 15584 ; 514 ; 9207.0 ; 0.019957988497770997 ; 0 ; 108.0496 ; 25.3208 ; 6787539 ; 9.5 ; 37.4 ; 85.3 ; 32.7
Wyoming  ; 582658 ; 843 ; 12 ; 575.0 ; 0.04416656082985216 ; 1 ; 5.84 ; 24.2208 ; 591087 ; 11.4 ; 26.8 ; 74.5 ; 74.0
